"Data Source,""World Development Indicators"","

"Last Updated Date,""2019-07-10"","

"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"","
"Aruba,""ABW"",""Population, total"",""SP.POP.TOTL"",""54211"",""55438"",""56225"",""56695"",""57032"",""57360"",""57715"",""58055"",""58386"",""58726"",""59063"",""59440"",""59840"",""60243"",""60528"",""60657"",""60586"",""60366"",""60103"",""59980"",""60096"",""60567"",""61345"",""62201"",""62836"",""63026"",""62644"",""61833"",""61079"",""61032"",""62149"",""64622"",""68235"",""72504"",""76700"",""80324"",""83200"",""85451"",""87277"",""89005"",""90853"",""92898"",""94992"",""97017"",""98737"",""100031"",""100834"",""101222"",""101358"",""101455"",""101669"",""102046"",""102560"",""103159"",""103774"",""104341"",""104872"",""105366"",""105845"","
